,symboling,fueltype,doornumber,carwidth,cylindernumber,horsepower,citympg,highwaympg,price
0,3,0,2,64.1,4,111,21,27,13495.0
1,3,0,2,64.1,4,111,21,27,16500.0
2,1,0,2,65.5,6,154,19,26,16500.0
3,2,0,4,66.2,4,102,24,30,13950.0
4,2,0,4,66.4,5,115,18,22,17450.0
5,2,0,2,66.3,5,110,19,25,15250.0
6,1,0,4,71.4,5,110,19,25,17710.0
7,1,0,4,71.4,5,110,19,25,18920.0
8,1,0,4,71.4,5,140,17,20,23875.0
9,0,0,2,67.9,5,160,16,22,17859.167
10,2,0,2,64.8,4,101,23,29,16430.0
11,0,0,4,64.8,4,101,23,29,16925.0
12,0,0,2,64.8,6,121,21,28,20970.0
13,0,0,4,64.8,6,121,21,28,21105.0
14,1,0,4,66.9,6,121,20,25,24565.0
15,0,0,4,66.9,6,182,16,22,30760.0
16,0,0,2,67.9,6,182,16,22,41315.0
17,0,0,4,70.9,6,182,15,20,36880.0
18,2,0,2,60.3,3,48,47,53,5151.0
19,1,0,2,63.6,4,70,38,43,6295.0
20,0,0,4,63.6,4,70,38,43,6575.0
21,1,0,2,63.8,4,68,37,41,5572.0
22,1,0,2,63.8,4,68,31,38,6377.0
23,1,0,2,63.8,4,102,24,30,7957.0
24,1,0,4,63.8,4,68,31,38,6229.0
25,1,0,4,63.8,4,68,31,38,6692.0
26,1,0,4,63.8,4,68,31,38,7609.0
27,1,0,2,63.8,4,102,24,30,8558.0
28,-1,0,4,64.6,4,88,24,30,8921.0
29,3,0,2,66.3,4,145,19,24,12964.0
30,2,0,2,63.9,4,58,49,54,6479.0
31,2,0,2,63.9,4,76,31,38,6855.0
32,1,0,2,64.0,4,60,38,42,5399.0
33,1,0,2,64.0,4,76,30,34,6529.0
34,1,0,2,64.0,4,76,30,34,7129.0
35,0,0,4,64.0,4,76,30,34,7295.0
36,0,0,4,63.9,4,76,30,34,7295.0
37,0,0,2,65.2,4,86,27,33,7895.0
38,0,0,2,65.2,4,86,27,33,9095.0
39,0,0,4,65.2,4,86,27,33,8845.0
40,0,0,4,62.5,4,86,27,33,10295.0
41,0,0,4,65.2,4,101,24,28,12945.0
42,1,0,2,66.0,4,100,25,31,10345.0
43,0,0,4,61.8,4,78,24,29,6785.0
44,1,0,2,63.6,4,70,38,43,8916.5
45,0,0,4,63.6,4,70,38,43,8916.5
46,2,0,2,65.2,4,90,24,29,11048.0
47,0,0,4,69.6,6,176,15,19,32250.0
48,0,0,4,69.6,6,176,15,19,35550.0
49,0,0,2,70.6,12,262,13,17,36000.0
50,1,0,2,64.2,4,68,30,31,5195.0
51,1,0,2,64.2,4,68,31,38,6095.0
52,1,0,2,64.2,4,68,31,38,6795.0
53,1,0,4,64.2,4,68,31,38,6695.0
54,1,0,4,64.2,4,68,31,38,7395.0
55,3,0,2,65.7,2,101,17,23,10945.0
56,3,0,2,65.7,2,101,17,23,11845.0
57,3,0,2,65.7,2,101,17,23,13645.0
58,3,0,2,65.7,2,135,16,23,15645.0
59,1,0,2,66.5,4,84,26,32,8845.0
60,0,0,4,66.5,4,84,26,32,8495.0
61,1,0,2,66.5,4,84,26,32,10595.0
62,0,0,4,66.5,4,84,26,32,10245.0
63,0,1,4,66.5,4,64,36,42,10795.0
64,0,0,4,66.5,4,84,26,32,11245.0
65,0,0,4,66.1,4,120,19,27,18280.0
66,0,1,4,66.1,4,72,31,39,18344.0
67,-1,1,4,70.3,5,123,22,25,25552.0
68,-1,1,4,70.3,5,123,22,25,28248.0
69,0,1,2,70.3,5,123,22,25,28176.0
70,-1,1,4,71.7,5,123,22,25,31600.0
71,-1,0,4,71.7,8,155,16,18,34184.0
72,3,0,2,70.5,8,155,16,18,35056.0
73,0,0,4,71.7,8,184,14,16,40960.0
74,1,0,2,72.0,8,184,14,16,45400.0
75,1,0,2,68.0,4,175,19,24,16503.0
76,2,0,2,64.4,4,68,37,41,5389.0
77,2,0,2,64.4,4,68,31,38,6189.0
78,2,0,2,64.4,4,68,31,38,6669.0
79,1,0,2,63.8,4,102,24,30,7689.0
80,3,0,2,65.4,4,116,23,30,9959.0
81,3,0,2,65.4,4,88,25,32,8499.0
82,3,0,2,66.3,4,145,19,24,12629.0
